State,Year,Water Access per Capita,Offense Count
CO,1999,1.4814896355716147,6683
CO,2000,1.3887748355008098,7111
CO,2001,1.3577636647146534,7368
CO,2002,1.3382128475687944,8167
CO,2003,1.3268877469455027,8438
CO,2004,1.3134649016297877,9470
CO,2005,1.2973271374437378,16648
CO,2006,1.2729869759553327,17750
CO,2007,1.2508824139214483,15927
CO,2008,1.228917343084383,16166
CO,2009,1.2085354657248961,16806
CO,2010,1.1903889617115908,16412
CO,2011,1.1744791417264955,16384
CO,2012,1.0065529960492294,18072
CO,2013,0.9997917361829499,17210
CO,2014,0.985185437538174,17459
CO,2015,0.9674147978703947,18302
CO,2016,1.0238980995840044,20327
IA,1999,0.8260159830599499,7792
IA,2000,0.8031905722880357,8075
IA,2001,0.8014933166711972,8064
IA,2002,0.8377412980696154,8756
IA,2003,0.8480019877641018,8399
IA,2004,0.9253479187509628,8728
IA,2005,0.9258868580858397,9022
IA,2006,0.9225418789503541,8891
IA,2007,0.9101944110653065,9431
IA,2008,0.8885466865822442,9176
IA,2009,0.9054001655197882,9079
IA,2010,0.8846861360628386,8490
IA,2011,0.8745104759293532,8149
IA,2012,0.8851214518931585,8326
IA,2013,0.8906302388833727,8330
IA,2014,0.8866643503931493,8566
IA,2015,0.8856356941362006,8858
IA,2016,0.8958621392335483,9443
KS,2000,1.0000293278974013,5091
KS,2001,0.9970201638539806,5649
KS,2002,0.9928414411459591,5958
KS,2003,0.996698499157548,7675
KS,2004,0.9919180740886485,8309
KS,2005,0.9879430255137965,7987
KS,2006,0.9814508578028188,9421
KS,2007,0.9711543815344935,9760
KS,2008,0.9628514327959784,9398
KS,2009,0.954422700006778,9429
KS,2010,0.9459824244516956,9075
KS,2011,0.9427309258786736,8622
KS,2012,0.9373202103339807,8794
KS,2013,0.9348715821494002,8284
KS,2014,0.9326713462385409,7992
KS,2015,0.929641828776969,8916
KS,2016,0.9281357181940145,9151
KY,1999,1.1443800218388847,336
KY,2000,1.1194530727304206,626
KY,2001,1.1141941805231492,706
KY,2002,1.1082707906720866,708
KY,2003,1.1009234498454035,777
KY,2004,1.0932413368608243,820
KY,2005,1.0836644956824972,786
KY,2006,1.0742906481476873,774
KY,2007,1.0648433799926327,641
KY,2008,1.0566009103289185,671
KY,2009,1.0499447079202255,5136
KY,2010,1.0424892386017497,5348
KY,2011,1.037583566918202,6111
KY,2012,1.0384070618406072,6943
KY,2013,1.0423152716190347,6378
KY,2014,1.0534144746015965,8124
KY,2015,1.0459114389525055,11201
KY,2016,1.0426111778487157,11915
ME,2004,0.5033166170353995,14
ME,2005,0.501370577659622,152
ME,2006,0.4995402755626808,171
ME,2007,0.4982525018085363,399
ME,2008,0.49697221138677,434
ME,2009,0.49725930550019176,415
ME,2010,0.5012805370421703,416
ME,2011,0.5199153895274585,510
